statistic,level,lower,upper,draws,seed,status,blocker
s1_mean_return_on_debit,0.8,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s1_mean_return_on_debit,0.9,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s1_mean_return_on_debit,0.95,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s1_matched_control_excess,0.8,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s1_matched_control_excess,0.9,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s1_matched_control_excess,0.95,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s2_all_mean_return_on_debit,0.8,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s2_all_mean_return_on_debit,0.9,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s2_all_mean_return_on_debit,0.95,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s2_veto_mean_return_on_debit,0.8,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s2_veto_mean_return_on_debit,0.9,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s2_veto_mean_return_on_debit,0.95,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s2_veto_minus_all_return_difference,0.8,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s2_veto_minus_all_return_difference,0.9,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s2_veto_minus_all_return_difference,0.95,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s2_veto_minus_all_win_rate_difference,0.8,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s2_veto_minus_all_win_rate_difference,0.9,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s2_veto_minus_all_win_rate_difference,0.95,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s3_mean_return_on_debit,0.8,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s3_mean_return_on_debit,0.9,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s3_mean_return_on_debit,0.95,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s3_matched_control_excess,0.8,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s3_matched_control_excess,0.9,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
s3_matched_control_excess,0.95,,,10,20260723,not_run_blocked_no_trades,blocked_chronology_or_leakage_failure
